distancia	batimetria	borde	dem	topo_base
0000.00	2923.347			
0001.00	2923.324			
0002.00	2923.324			
0003.00	2923.306			
0004.00	2923.308			
0005.00	2923.310			
0006.00	2923.312			
0007.00	2923.314			
0008.00	2923.316			
0009.00	2923.316			
0010.00	2923.304			
0011.00	2923.299			
0012.00	2923.297			
0013.00	2923.300			
0014.00	2923.310			
0015.00	2923.319			
0016.00	2923.328			
0017.00	2923.337			
0018.00	2923.339			
0019.00	2923.346			
0020.00	2923.347			
0021.00	2923.347			
0022.00	2923.347			
0023.00	2923.359			
0024.00	2923.356			
0025.00	2923.354			
0026.00	2923.344			
0027.00	2923.334			
0028.00	2923.329			
0029.00	2923.325			
0030.00	2923.322			
0031.00	2923.319			
0032.00	2923.316			
0033.00	2923.313			
0034.00	2923.311			
0035.00	2923.308			
0036.00	2923.306			
0037.00	2923.305			
0038.00	2923.304			
0039.00	2923.304			
0040.00	2923.303			
0041.00	2923.303			
0042.00	2923.302			
0043.00	2923.302			
0044.00	2923.301			
0045.00	2923.301			
0046.00	2923.300			
0047.00	2923.296			
0048.00	2923.292			
0049.00	2923.290			
0050.00	2923.285			
0051.00	2923.285			
0052.00	2923.276			
0053.00	2923.267			
0054.00	2923.265			
0055.00	2923.263			
0056.00	2923.261			
0057.00	2923.258			
0058.00	2923.251			
0059.00	2923.244			
0060.00	2923.230			
0061.00	2923.217			
0062.00	2923.207			
0063.00	2923.203			
0064.00	2923.198			
0065.00	2923.194			
0066.00	2923.190			
0067.00	2923.185			
0068.00	2923.185			
0069.00	2923.186			
0070.00	2923.203			
0071.00	2923.217			
0072.00	2923.214			
0073.00	2923.221			
0074.00	2923.229			
0075.00	2923.237			
0076.00	2923.244			
0077.00	2923.253			
0078.00	2923.265			
0079.00	2923.268			
0080.00	2923.269			
0081.00	2923.269			
0082.00	2923.273			
0083.00	2923.280			
0084.00	2923.286			
0085.00	2923.301			
0086.00	2923.318			
0087.00	2923.323			
0088.00	2923.320			
0089.00	2923.315			
0090.00	2923.308			
0091.00	2923.306			
0092.00	2923.304			
0093.00	2923.302			
0094.00	2923.300			
0095.00	2923.306			
0096.00	2923.303			
0097.00	2923.302			
0098.00	2923.301			
0099.00	2923.303			
0100.00	2923.306			
0101.00	2923.308			
0102.00	2923.317			
0103.00	2923.320			
0104.00	2923.315			
0105.00	2923.312			
0106.00	2923.314			
0107.00	2923.317			
0108.00	2923.320			
0109.00	2923.322			
0110.00	2923.324			
0111.00	2923.326			
0112.00	2923.328			
0113.00	2923.330			
0114.00	2923.329			
0115.00	2923.324			
0116.00	2923.321			
0117.00	2923.319			
0118.00	2923.338			
0119.00	2923.328			
0120.00	2923.329			
0121.00	2923.330			
0122.00	2923.322			
0123.00	2923.316			
0124.00	2923.316			
0125.00	2923.319			
0126.00	2923.325			
0127.00	2923.335			
0128.00	2923.339			
0129.00	2923.342			
0130.00	2923.347			
0131.00	2923.356			
0132.00	2923.358			
0133.00	2923.363			
0134.00	2923.365			
0135.00	2923.365			
0136.00	2923.366			
0137.00	2923.366			
0138.00	2923.367			
0139.00	2923.367			
0140.00	2923.367			
0141.00	2923.368			
0142.00	2923.368			
0143.00	2923.368			
0144.00	2923.367			
0145.00	2923.365			
0146.00	2923.364			
0147.00	2923.362			
0148.00	2923.360			
0149.00	2923.358			
0150.00	2923.356			
0151.00	2923.354			
0152.00	2923.352			
0153.00	2923.351			
0154.00	2923.349			
0155.00	2923.351			
0156.00	2923.353			
0157.00	2923.357			
0158.00	2923.356			
0159.00	2923.354			
0160.00	2923.351			
0161.00	2923.348			
0162.00	2923.345			
0163.00	2923.343			
0164.00	2923.341			
0165.00	2923.341			
0166.00	2923.341			
0167.00	2923.341			
0168.00	2923.342			
0169.00	2923.342			
0170.00	2923.342			
0171.00	2923.342			
0172.00	2923.343			
0173.00	2923.343			
0174.00	2923.343			
0175.00	2923.343			
0176.00	2923.343			
0177.00	2923.344			
0178.00	2923.340			
0179.00	2923.334			
0180.00	2923.335			
0181.00	2923.339			
0182.00	2923.345			
0183.00	2923.352			
0184.00	2923.356			
0185.00	2923.357			
0186.00	2923.359			
0187.00	2923.361			
0188.00	2923.362			
0189.00	2923.361			
0190.00	2923.351			
0191.00	2923.318			
0192.00	2923.372			
0193.00	2923.363			
0194.00	2923.351			
0195.00	2923.341			
0196.00	2923.338			
0197.00	2923.341			
0198.00	2923.343			
0199.00	2923.325			
0200.00	2923.344			
0201.00	2923.334			
0202.00	2923.330			
0203.00	2923.330			
0204.00	2923.321			
